activity_id,activity_name,last_update
20316,Stand,2024-10-28T12:08:02Z
20470,Sit,2024-10-28T12:08:02Z
20596,Sleep,2024-10-28T12:08:02Z
20820,Walk,2024-10-28T12:08:02Z
20683,Run,2024-10-28T12:08:02Z
20453,Cycling,2024-10-28T12:08:02Z
20706,Elliptical,2024-10-28T12:08:02Z
20581,Rower,2024-10-28T12:08:02Z
20252,Stair Stepper,2024-10-28T12:08:02Z
20334,HIIT,2024-10-28T12:08:02Z
20752,Hiking,2024-10-28T12:08:02Z
20934,Yoga,2024-10-28T12:08:02Z
20060,Functional Strength Training,2024-10-28T12:08:02Z
20591,Dance,2024-10-28T12:08:02Z
20810,Cooldown,2024-10-28T12:08:02Z
20528,Core Training,2024-10-28T12:08:02Z
20811,Pilates,2024-10-28T12:08:02Z
20277,Tai Chi,2024-10-28T12:08:02Z
20308,Swimming,2024-10-28T12:08:02Z
20327,Wheelchair,2024-10-28T12:08:02Z
20309,Multisport,2024-10-28T12:08:02Z
20828,Kickboxing,2024-10-28T12:08:02Z
20110,Other,2024-10-28T12:08:02Z
